# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8895829962478445,3.3092017785459062,-0.0021821860205947373,0,3.0,-0.006440401188990484,0.0,0.0,0.0
 0.08926528390879886,1.9015354326061533,3.309201323321459,-0.0021821860205947373,0.2677958517263966,3.0,-0.006440401188990484,0.0,-0.11962172495621329,0.0
 0.1259900901447876,1.9133932503831301,3.3091999625168294,-0.006575270691226409,0.3779702704343628,3.0000000000000004,-0.006542603623687667,0.0,-0.1580654046480644,0.0
 0.1540004690202115,1.92515721263185,3.3091977034350815,-0.011002742562515884,0.4620014070606346,3.0000000000000018,-0.006645958227817244,0.0,-0.19008553797565203,0.0
 0.1774731658332567,1.9368280824053883,3.3091945533792826,-0.015464562763962953,0.5324194974997702,3.000000000000002,-0.006750450925541115,0.0,-0.2187197701695702,0.0
 0.19802967444364425,1.94840662275682,3.309190519652499,-0.019960677602715707,0.5940890233309329,3.0000000000000027,-0.006856066525649602,0.0,-0.24523114992065217,0.0
 0.2165034302610342,1.9598935967392208,3.309185609557795,-0.02449101798516758,0.6495102907831027,2.9999999999999987,-0.006962786010879917,0.0,-0.2702924407959533,0.0
 0.23339062406758215,1.9712897674056655,3.309179830398239,-0.029055498817333734,0.7001718722027467,3.000000000000003,-0.007070586374517482,0.0,-0.2943119158783659,0.0
 0.24901527055972295,1.98259589780923,3.309173189476895,-0.03365401846135788,0.7470458116791692,3.000000000000007,-0.007179448570636638,0.0,-0.31755863208886537,0.0
 0.263602937712457,1.9938127510029888,3.3091656940968295,-0.03828645808774779,0.7908088131373714,3.0,-0.007289346764975338,0.0,-0.3402203284066044,0.0
 0.27731823514997084,2.0049410900400177,3.309157351561109,-0.042952681086132996,0.8319547054499128,2.999999999999996,-0.007400254927482144,0.0,-0.3624335908896,0.0
 0.2902857179537465,2.015981677973392,3.3091481691727993,-0.04765253244350456,0.8708571538612399,3.0,-0.007512142660682545,0.0,-0.38430097591490153,0.0
 0.3026023810580846,2.0269352778561864,3.3091381542349665,-0.05238583809451675,0.9078071431742543,3.000000000000009,-0.0076249792164452,0.0,-0.40590138290212524,0.0
 0.3143455442925332,2.037802652741477,3.3091273140506754,-0.05715240429102482,0.9430366328776001,3.0000000000000093,-0.007738730660238191,0.0,-0.4272966569041934,0.0
 0.32557805113212385,2.0485845656823383,3.309115655922994,-0.06195201691223539,0.976734153396372,3.0,-0.007853359737234611,0.0,-0.44853598038086184,0.0
 0.33635182213950343,2.0592817797318457,3.309103187154987,-0.0667844408534293,1.009055466418511,3.0000000000000155,-0.007968828612313274,0.0,-0.46965887231773834,0.0
 0.3467103583632711,2.069895057943075,3.30908991504972,-0.07164941929514645,1.0401310750898138,2.9999999999999947,-0.00808509449900309,0.0,-0.4906973178988221,0.0
 0.35669055096172253,2.0804251633691004,3.3090758469102606,-0.07654667303532026,1.0700716528851681,2.9999999999999942,-0.008202113845399874,0.0,-0.5116773038392229,0.0
 0.36632401866414105,2.090872859062998,3.309060990039673,-0.081475899815916,1.0989720559924236,2.9999999999999942,-0.008319837877465276,0.0,-0.5326199433803016,0.0
 0.3756381155547042,2.101238908077843,3.309045351741025,-0.0864367735744064,1.1269143466641132,3.0,-0.008438216856151643,0.0,-0.5535423362605271,0.0
 0.3846567034556509,2.1115240734667107,3.309028939317381,-0.09142894379086734,1.153970110366953,2.9999999999999876,-0.008557194023448513,0.0,-0.5744582028807189,0.0
 0.3934007528766227,2.121729118282676,3.3090117600718076,-0.09645203470713899,1.1802022586298684,2.999999999999994,-0.008676715951187625,0.0,-0.5953783963500385,0.0
 0.4018888169068735,2.1318548055788145,3.308993821307371,-0.10150564465758617,1.205666450720621,3.000000000000013,-0.008796721971629359,0.0,-0.6163112828677574,0.0
 0.41013740945146976,2.141901898408201,3.308975130327137,-0.1065893453105997,1.2304122283544099,3.00000000000002,-0.008917145409546728,0.0,-0.6372630522042987,0.0
 0.41816131042853943,2.1518711598239113,3.3089556944341716,-0.11170268093783219,1.2544839312856189,2.999999999999993,-0.009037921162351973,0.0,-0.6582379635963832,0.0
 0.4259738144802877,2.1617633528790203,3.3089355209315405,-0.11684516769544345,1.2779214434408637,3.0,-0.00915898107006815,0.0,-0.6792385351254808,0.0
 0.43358693548902977,2.171579240626604,3.3089146171223103,-0.12201629285715444,1.30076080646709,3.000000000000007,-0.009280244209690652,0.0,-0.7002657078072096,0.0
 0.44101157614634123,2.181319586119736,3.3088929903095465,-0.12721551410226084,1.3230347284390243,2.9999999999999925,-0.00940163730076622,0.0,-0.7213189662064542,0.0
 0.44825766961822777,2.1909851524114936,3.3088706477963155,-0.13244225875443738,1.3447730088546839,3.0,-0.009523075563824566,0.0,-0.7423964455187205,0.0
 0.45533429872957815,2.2005767025549505,3.308847596885683,-0.1376959230529582,1.3660028961887352,3.0000000000000235,-0.00964447372783988,0.0,-0.7634950143940011,0.0
 0.46224979688688905,2.2100949996031822,3.308823844880715,-0.14297587141811596,1.3867493906606678,2.999999999999992,-0.0097657394012686,0.0,-0.7846103402494325,0.0
 0.4690118340524801,2.2195408066092646,3.3087993990844775,-0.14828143569938967,1.407035502157441,3.000000000000008,-0.009886784555410635,0.0,-0.805736951281838,0.0
 0.4756274903950119,2.228914886626273,3.308774266800037,-0.1536119144715496,1.4268824711850365,3.000000000000017,-0.010007505400979834,0.0,-0.8268682775449071,0.0
